SitID	UWI (AGS)	UWI
111000	0784063611000	00/11-36-078-06W4/0
111001	0784071106000	00/06-11-078-07W4/0
111009	0784072413000	00/13-24-078-07W4/0
111010	0784072710000	00/10-27-078-07W4/0
111011	0784072907000	00/07-29-078-07W4/0
111015	0784080811AA0	AA/11-08-078-08W4/0
111016	0784081110AA0	AA/10-11-078-08W4/0
111019	0784082610AA0	AA/10-26-078-08W4/0
142715	0784083002000	00/02-30-078-08W4/0
111022	0784090910000	00/10-09-078-09W4/0
111023	0784091107000	00/07-11-078-09W4/0
111024	0784092710000	00/10-27-078-09W4/0
111025	0784093307000	00/07-33-078-09W4/0
111030	0784101110000	00/10-11-078-10W4/0
111031	0784101810000	00/10-18-078-10W4/0
111032	0784103106000	00/06-31-078-10W4/0
111034	0784103507000	00/07-35-078-10W4/0
111037	0784111111000	00/11-11-078-11W4/0
111038	0784112006000	00/06-20-078-11W4/0
111039	0784113012000	00/12-30-078-11W4/0
111040	0784113310000	00/10-33-078-11W4/0
111041	0784121005000	00/05-10-078-12W4/0
111044	0784121905000	00/05-19-078-12W4/0
111045	0784122207000	00/07-22-078-12W4/0
111046	0784123210000	00/10-32-078-12W4/0
111047	0784131407000	00/07-14-078-13W4/0
111048	0784132511000	00/11-25-078-13W4/0
142716	0784133004000	00/04-30-078-13W4/0
111051	0784133406000	00/06-34-078-13W4/0
111052	0784141110000	00/10-11-078-14W4/0
178435	0784141307000	00/07-13-078-14W4/0
111053	0784142210000	00/10-22-078-14W4/0
178437	0784142506000	00/06-25-078-14W4/0
111054	0784150307000	00/07-03-078-15W4/0
111059	0784151006000	00/06-10-078-15W4/0
111060	0784151206000	00/06-12-078-15W4/0
170730	0784152812000	00/12-28-078-15W4/0
111062	0784160306000	00/06-03-078-16W4/0
111065	0784162509000	00/09-25-078-16W4/0
111074	0784171107000	00/07-11-078-17W4/0
111079	0784172307000	00/07-23-078-17W4/0
111086	0784181410000	00/10-14-078-18W4/0
111087	0784183306000	00/06-33-078-18W4/0
111088	0784190608000	00/08-06-078-19W4/0
111090	0784192606000	00/06-26-078-19W4/0
111091	0784192905000	00/05-29-078-19W4/0
111092	0784202808000	00/08-28-078-20W4/0
111094	0784213310000	00/10-33-078-21W4/0
111095	0784213611000	00/11-36-078-21W4/0
111096	0784220607000	00/07-06-078-22W4/0
111098	0784223011000	00/11-30-078-22W4/0
111099	0784223611000	00/11-36-078-22W4/0
111100	0784230707000	00/07-07-078-23W4/0
111101	0784230907000	00/07-09-078-23W4/0
111102	0784232310000	00/10-23-078-23W4/0
111105	0784233004000	00/04-30-078-23W4/0
111108	0784233410000	00/10-34-078-23W4/0
111110	0784241405AA0	AA/05-14-078-24W4/0
111111	0784241910000	00/10-19-078-24W4/0
111112	0784242010000	00/10-20-078-24W4/0
111116	0784250606AA0	AA/06-06-078-25W4/0
111118	0784251910000	00/10-19-078-25W4/0
111120	0784252506000	00/06-25-078-25W4/0
111122	0784253406000	00/06-34-078-25W4/0
111123	0784260910000	00/10-09-078-26W4/0
111124	0784261001000	00/01-10-078-26W4/0
111125	0784261307000	00/07-13-078-26W4/0
111126	0784262110000	00/10-21-078-26W4/0
111127	0785010410000	00/10-04-078-01W5/0
153892	0785010613000	00/13-06-078-01W5/0
111129	0785011706000	00/06-17-078-01W5/0
111131	0785012611000	00/11-26-078-01W5/0
153893	0785020802000	00/02-08-078-02W5/0
111134	0785021107000	00/07-11-078-02W5/0
111136	0785022006000	00/06-20-078-02W5/0
153895	0785022212000	00/12-22-078-02W5/0
111139	0785031007000	00/07-10-078-03W5/0
111140	0785031810000	00/10-18-078-03W5/0
111141	0785032511000	00/11-25-078-03W5/0
111143	0785053111000	00/11-31-078-05W5/0
111656	0794021905000	00/05-19-079-02W4/0
142889	0794030510000	00/10-05-079-03W4/0
142890	0794030607000	00/07-06-079-03W4/0
111657	0794031116000	00/16-11-079-03W4/0
111658	0794031702000	00/02-17-079-03W4/0
111660	0794040510000	00/10-05-079-04W4/0
